Sample	Sample ID	Mouse ID	Kind of Mouse	Sample Time	Sample Group	Sample Type	Extraction Group
1_AALb1_2	B6_F2_(3274F)DonorFeces	B6 F2 (3274F)	ALb1-2	Donor	ALb1-2	Feces	A
17_AALb1_2	B6_F2_(3274F)DonorSlurry	B6 F2 (3274F)	ALb1-2	Donor	ALb1-2	Slurry	A
87_DALb9_10	B6_M1_(3273)DonorFeces	B6 M1 (3273)	Donor	Donor	ALb9-10	Feces	D
88_DALb9_10	B6_M1_(3273)DonorSlurry	B6 M1 (3273)	Donor	Donor	ALb9-10	Slurry	D
140_GALb3_4	B6_F1_(3275F)DonorSlurry	B6 F1 (3275F)	Donor	Donor	ALb3-4	Slurry	G
259_NALb15_16	B6_F2_3368DonorSlurry	B6 F2 3368	Donor	Donor	ALb15-16	Slurry	Q
182_JALb5_6	B6_M1_(3285)DonorFeces	B6 M1 (3285)	Donor	Donor	ALb5-6	Feces	J
183_JALb5_6	B6_M1_(3285)DonorSlurry	B6 M1 (3285)	Donor	Donor	ALb5-6	Slurry	J
234_KALb7_8	B6_M2_(3286)DonorFeces	B6 M2 (3286)	Donor	Donor	ALb7-8	Feces	K
235_KALb7_8	B6_M2_(3286)DonorSlurry	B6 M2 (3286)	Donor	Donor	ALb7-8	Slurry	K
244_MALb11_12	B6_M3_(3287)DonorFeces	B6 M3 (3287)	Donor	Donor	ALb11-12	Feces	M
245_MALb11_12	B6_M3_(3287)DonorSlurry	B6 M3 (3287)	Donor	Donor	ALb11-12	Slurry	M
258_NALb15_16	B6_F2_3368DonorFeces	B6 F2 3368	Donor	Donor	ALb15-16	Feces	N
139_GALb3_4	B6_F1_(3275F)DonorFeces	B6 F1 (3275F)	Donor	Donor	ALb3-4	Feces	G
289_PALb13_14	B6_M2_(3272)DonorFeces	B6 M2 (3272)	Donor	Donor	ALb13-14	Feces	P
290_PALb13_14	B6_M2_(3272)DonorSlurry	B6 M2 (3272)	Donor	Donor	ALb13-14	Slurry	P
2_AALb1_2	ALb1Day_0Feces	ALb1	Recipient	Day 0	ALb1-2	Feces	A
3_AALb1_2	ALb2Day_0Feces	ALb2	Recipient	Day 0	ALb1-2	Feces	A
4_AALb1_2	ALb1Day_7Feces	ALb1	Recipient	Day 7	ALb1-2	Feces	A
5_AALb1_2	ALb2Day_7Feces	ALb2	Recipient	Day 7	ALb1-2	Feces	A
6_AALb1_2	ALb18wkFeces	ALb1	Recipient	8wk	ALb1-2	Feces	A
261_NALb15_16	ALb16Day_0Feces	ALb16	Recipient	Day 0	ALb15-16	Feces	Q
9_AALb1_2	ALb2DissectionFeces	ALb2	Recipient	Dissection	ALb1-2	Feces	A
10_AALb1_2	ALb2_5DissectionFeces	ALb2_5	Recipients' offspring	Dissection	ALb1-2	Feces	A
11_AALb1_2	ALb2_6DissectionFeces	ALb2_6	Recipients' offspring	Dissection	ALb1-2	Feces	A
12_AALb1_2	ALb2_7DissectionFeces	ALb2_7	Recipients' offspring	Dissection	ALb1-2	Feces	A
13_AALb1_2	ALb2_8DissectionFeces	ALb2_8	Recipients' offspring	Dissection	ALb1-2	Feces	A
14_AALb1_2	ALb2_9DissectionFeces	ALb2_9	Recipients' offspring	Dissection	ALb1-2	Feces	A
15_AALb1_2	ALb2_1DissectionFeces	ALb2_1	Recipients' offspring	Dissection	ALb1-2	Feces	A
16_AALb1_2	ALb2_2DissectionFeces	ALb2_2	Recipients' offspring	Dissection	ALb1-2	Feces	A
291_PALb13_14	ALb13Day_0Feces	ALb13	Recipient	Day 0	ALb13-14	Feces	Q
89_DALb9_10	ALb9Day_0Feces	ALb9	Recipient	Day 0	ALb9-10	Feces	D
90_DALb9_10	ALb10Day_0Feces	ALb10	Recipient	Day 0	ALb9-10	Feces	D
91_DALb9_10	ALb9Day_7Feces	ALb9	Recipient	Day 7	ALb9-10	Feces	D
92_DALb9_10	ALb10Day_7Feces	ALb10	Recipient	Day 7	ALb9-10	Feces	D
93_DALb9_10	ALb98_wkFeces	ALb9	Recipient	8 wk	ALb9-10	Feces	D
95_DALb9_10	ALb9DissectionFeces	ALb9	Recipient	Dissection	ALb9-10	Feces	D
96_DALb9_10	ALb10DissectionFeces	ALb10	Recipient	Dissection	ALb9-10	Feces	D
97_DALb9_10	ALb10_4DissectionFeces	ALb10_4	Recipients' offspring	Dissection	ALb9-10	Feces	D
98_DALb9_10	ALb10_5DissectionFeces	ALb10_5	Recipients' offspring	Dissection	ALb9-10	Feces	D
99_DALb9_10	ALb10_6DissectionFeces	ALb10_6	Recipients' offspring	Dissection	ALb9-10	Feces	D
100_DALb9_10	ALb10_7DissectionFeces	ALb10_7	Recipients' offspring	Dissection	ALb9-10	Feces	D
101_DALb9_10	ALb10_1DissectionFeces	ALb10_1	Recipients' offspring	Dissection	ALb9-10	Feces	D
102_DALb9_10	ALb10_2DissectionFeces	ALb10_2	Recipients' offspring	Dissection	ALb9-10	Feces	D
237_KALb7_8	ALb8Day_0Feces	ALb8	Recipient	Day 0	ALb7-8	Feces	Q
260_NALb15_16	ALb15Day_0Feces	ALb15	Recipient	Day 0	ALb15-16	Feces	Q
293_PALb13_14	ALb13Day_7Feces	ALb13	Recipient	Day 7	ALb13-14	Feces	P
